code,name,bucket,estab,years,scale,company,ftype,index_name,managers,cur_start,tenure,mgr_changes_5y,fee_now,sgzt,cagr1,cagr3,cagr5,cagr8,cagr10,cagr_since,vol5,mdd5,mdd10,mdd_all,max_year_key,max_year,sharpe1y,latest,siblings,score,selected
539002,建信新兴市场混合(QDII)A,QDII/海外,2011-06-21,15.2197,20.5710,建信基金,QDII-混合偏股,,"李博涵,程星烨,房乐",2024-06-18,2.2259,1,0.16%,限大额,98.7210,48.1844,20.4143,13.5107,12.3912,6.1662,31.6895,-35.8475,-39.8882,-39.8882,2026,69.2308,2.3583,2026-09-09,[],49.7,1
005698,华夏全球科技先锋混合(QDII)A(人民币),QDII/海外,2018-04-17,8.3970,97.5058,华夏基金,QDII-混合偏股,,李湘杰,2018-04-17,8.3970,0,0.15%,限大额,33.6955,29.2328,12.6051,12.9568,,12.6532,31.8136,-45.5330,-54.2771,-54.2771,2023,60.3390,0.7592,2026-09-09,[],41.2,1
519981,长信标普100等权重指数人民币,QDII/海外,2011-03-30,15.4470,17.1402,长信基金,指数型-海外股票,S&P 100 Equal Weight Index,傅瑶纯,2020-05-06,6.3436,0,0.14%,限大额,13.0796,14.4124,9.1181,10.0717,10.4159,9.6753,13.8919,-14.5833,-26.9001,-26.9001,2013,22.1689,1.1819,2026-09-09,[],38.1,
096001,大成标普500等权重指数(QDII)A人民币,QDII/海外,2011-03-23,15.4661,7.3039,大成基金,指数型-海外股票,S&P 500 EQUAL WEIGHTED TOTAL RETURN,冉凌浩,2011-08-26,15.0390,0,0.15%,限大额,9.0452,10.4155,7.6401,8.5366,9.5812,9.2258,15.2088,-17.2351,-37.4686,-37.4686,2019,27.1775,0.7723,2026-09-09,[],35.6,
457001,国富亚洲机会股票(QDII)A,QDII/海外,2012-02-22,14.5462,11.5757,国海富兰克林基金,QDII-普通股票,,徐成,2016-02-24,10.5407,0,0.15%,限大额,80.8706,33.5772,11.6807,16.0925,14.3972,8.6083,25.7307,-40.2135,-48.5189,-48.5189,2026,55.6677,2.4329,2026-09-09,[],32.5,
378006,摩根全球新兴市场混合(QDII),QDII/海外,2011-01-30,15.6085,6.7332,摩根基金(中国),QDII-混合偏股,,张军,2021-06-01,5.2731,0,0.16%,限大额,33.0026,21.0522,8.2826,8.7676,8.5833,4.3412,16.8496,-29.7586,-41.3032,-41.3032,2017,41.3450,1.5593,2026-09-09,[],21.3,
161128,易方达标普信息科技指数(QDII-LOF)A(人民币),QDII/海外,2016-12-13,9.7385,41.4559,易方达基金,指数型-海外股票,标普500信息科技指数,刘依姗,2025-04-11,1.4127,2,0.12%,暂停申购,24.2139,26.0181,19.3256,21.3335,,21.7371,26.0854,-25.6557,-30.0303,-30.0303,2023,56.7477,1.0131,2026-09-09,"['003721', '012869', '012868']",,
000043,嘉实美国成长股票人民币,QDII/海外,2013-06-14,13.2375,49.8764,嘉实基金,QDII-普通股票,,陈俊杰,2026-05-13,0.3258,3,0.15%,限大额,15.1671,21.3251,14.2004,15.3146,16.8293,14.8784,21.3443,-24.9201,-28.6375,-28.6375,2023,40.3549,0.7347,2026-09-09,[],,
050025,博时标普500ETF联接A,QDII/海外,2012-06-14,14.2368,64.6685,博时基金,指数型-海外股票,标准普尔500指数,万琼,2021-09-23,4.9610,1,0.12%,暂停申购,11.7954,15.9555,11.2796,12.2600,13.1454,13.1978,16.1858,-19.0482,-31.1720,-31.1720,2019,30.0184,0.9131,2026-09-09,['006075'],,
100055,富国全球科技互联网股票(QDII)A,QDII/海外,2011-07-13,15.1595,66.9439,富国基金,QDII-普通股票,,赵年珅,2025-11-13,0.8214,3,0.15%,限大额,52.5615,34.6576,15.3794,17.0381,16.3570,11.4883,23.6371,-35.3692,-46.9393,-46.9393,2020,52.5354,1.6968,2026-09-09,[],,
000929,博时黄金D,QDII/海外,2014-12-18,11.7262,0.1091,博时基金,指数型-其他,黄金9999,"赵云阳,王祥",2016-11-02,9.8535,0,--,暂停申购,14.0833,26.0113,19.8782,16.6714,12.2505,12.7877,17.9133,-30.2665,-30.2665,-30.2665,2025,55.7132,0.3993,2026-09-10,['000930'],,
162719,广发道琼斯石油指数人民币A,QDII/海外,2017-02-28,9.5277,6.7508,广发基金,指数型-海外股票,道琼斯美国石油开发与生产指数,姚曦,2023-02-22,3.5455,3,0.12%,暂停申购,42.9760,8.8591,24.3192,13.3521,,12.9083,28.9253,-29.1608,-65.6982,-65.6982,2021,67.5714,1.6983,2026-09-09,['004243'],,
161130,易方达纳斯达克100ETF联接(QDII-LOF)A(人民币),QDII/海外,2017-06-23,9.2129,17.8265,易方达基金,指数型-海外股票,纳斯达克100指数,伍臣东,2023-09-23,2.9624,2,0.12%,暂停申购,16.3273,20.1751,13.5154,17.1402,,17.5433,21.7061,-28.9143,-28.9143,-28.9143,2023,54.1924,0.8317,2026-09-09,"['003722', '012871', '012870']",,
000307,易方达黄金ETF联接A,QDII/海外,2016-05-26,10.2916,58.8271,易方达基金,指数型-其他,黄金9999,张湛,2025-12-20,0.7228,2,0.07%,开放申购,14.0177,25.1303,19.2634,16.1340,11.7657,11.7049,17.4719,-29.9826,-29.9826,-29.9826,2025,54.0461,0.4040,2026-09-10,['002963'],,
539001,建信纳斯达克100指数(QDII)A人民币,QDII/海外,2010-09-14,15.9863,21.7639,建信基金,指数型-海外股票,纳斯达克100指数,朱金钰,2026-07-28,0.1177,2,0.12%,限大额,15.5467,20.6975,14.4921,11.2558,11.9519,8.0326,22.0054,-28.6503,-28.6503,-28.6503,2023,55.0586,0.8008,2026-09-09,[],,
160723,嘉实原油(QDII-LOF),QDII/海外,2017-04-20,9.3881,12.0099,嘉实基金,QDII-商品,,"蒋一茜,张琴",2024-10-25,1.8727,2,0.12%,暂停申购,61.6755,12.6776,19.4072,6.8202,,9.1615,28.9537,-32.5811,-74.3972,-74.3972,2026,75.0750,1.6027,2026-09-09,[],,
160416,华安标普全球石油指数(LOF)A,QDII/海外,2012-03-29,14.4476,4.6027,华安基金,指数型-海外股票,标普全球石油指数,倪斌,2018-09-28,7.9480,0,0.12%,暂停申购,32.5305,10.6573,18.0843,9.7422,9.4229,6.0931,19.9693,-22.2072,-51.6267,-54.0277,2022,33.9270,1.8348,2026-09-09,[],,
161125,易方达标普500指数人民币A,QDII/海外,2016-12-02,9.7687,15.4342,易方达基金,指数型-海外股票,标准普尔500指数,刘依姗,2025-04-11,1.4127,2,0.12%,暂停申购,11.5249,16.0222,11.6972,12.3737,,12.4096,16.1485,-18.3332,-32.9291,-32.9291,2019,29.9073,0.8984,2026-09-09,['012860'],,
320013,诺安全球黄金(QDII-FOF)A,QDII/海外,2011-01-13,15.6550,7.6101,诺安基金,QDII-商品,,唐晨,2026-02-14,0.5667,1,0.08%,开放申购,12.7614,23.9029,16.9054,14.2584,10.0359,5.6940,16.3425,-25.7891,-25.7891,-46.0563,2025,52.9703,0.4317,2026-09-09,[],,
501018,南方原油A,QDII/海外,2016-06-15,10.2341,12.2422,南方基金,QDII-商品,,张其思,2021-11-19,4.8049,1,0.12%,暂停申购,67.4461,13.9116,19.6995,5.9026,7.8169,6.9960,30.3954,-31.3983,-76.4886,-76.4886,2026,80.4534,1.7352,2026-09-09,['006476'],,
163208,诺安油气能源,QDII/海外,2011-09-27,14.9514,2.6722,诺安基金,QDII-普通股票,,唐晨,2026-02-14,0.5667,1,0.15%,暂停申购,42.8852,10.7404,20.2877,6.1712,5.7707,2.9241,23.6498,-23.8931,-63.7331,-70.2617,2021,41.6838,1.9486,2026-09-09,[],,
161129,易方达原油A类人民币,QDII/海外,2016-12-19,9.7221,6.3534,易方达基金,QDII-商品,,殷春涛,2025-04-11,1.4127,5,0.12%,暂停申购,65.3082,13.1937,19.1336,5.2082,,6.9554,30.1806,-34.4814,-76.5430,-76.5430,2026,80.2813,1.6629,2026-09-09,[],,
003321,易方达原油C类人民币,QDII/海外,2016-12-19,9.7221,0.1161,易方达基金,QDII-商品,,殷春涛,2025-04-11,1.4127,5,0.00%,暂停申购,64.8271,12.9549,18.7505,4.7265,,6.4716,30.1703,-34.6837,-76.9236,-76.9236,2026,79.9315,1.6487,2026-09-09,[],,
040021,华安大中华升级股票(QDII)A,QDII/海外,2011-05-17,15.3155,1.6866,华安基金,QDII-普通股票,,"苏圻涵,翁启森",2011-05-17,15.3155,0,0.15%,开放申购,36.2428,34.3867,8.9841,10.5540,9.2456,7.6101,25.6039,-42.5500,-42.9210,-42.9210,2025,54.7523,1.1016,2026-09-09,[],,
161226,国投瑞银白银期货(LOF)A,QDII/海外,2015-08-06,11.0965,79.4415,国投瑞银基金,商品,,赵建,2021-08-07,5.0924,0,0.10%,暂停申购,65.0404,35.3502,18.3165,12.4000,5.2629,5.7375,32.8689,-53.5692,-53.5692,-53.5692,2025,127.9560,1.0354,2026-09-10,[],,
160719,嘉实黄金,QDII/海外,2011-08-04,15.0992,3.5664,嘉实基金,QDII-商品,,张钟玉,2023-04-12,3.4114,2,0.08%,暂停申购,12.0551,24.6033,17.3000,14.2798,10.0231,4.5293,16.6894,-26.4887,-26.4887,-42.9833,2025,53.9104,0.3960,2026-09-09,[],,
164701,汇添富黄金及贵金属(QDII-LOF-FOF)A,QDII/海外,2011-08-31,15.0253,7.4371,汇添富基金,QDII-商品,,乐无穹,2026-08-04,0.0986,2,0.08%,暂停申购,13.8000,25.7715,17.7219,14.5202,10.1536,3.6230,18.7677,-29.8555,-29.8555,-49.4000,2025,59.2199,0.3916,2026-09-09,[],,
161116,易方达黄金主题人民币A,QDII/海外,2011-05-06,15.3457,3.9184,易方达基金,QDII-商品,,殷春涛,2025-04-11,1.4127,3,0.10%,暂停申购,14.7532,27.0738,16.3241,11.3001,7.8961,3.2235,21.6651,-27.6836,-41.2844,-45.4209,2025,62.3398,0.4628,2026-09-09,['007976'],,
501029,华宝标普中国A股红利机会ETF联接A(LOF),QDII/海外,2017-01-18,9.6427,13.3182,华宝基金,指数型-股票,标普中国A股红利机会指数,胡一江,2026-02-12,0.5749,3,0.10%,开放申购,4.7953,10.3053,7.5578,10.1156,,7.3070,15.7160,-17.4713,-29.3704,-29.3704,2021,23.3664,0.2845,2026-09-10,['005125'],,
160644,鹏华港美互联股票人民币,QDII/海外,2017-11-16,8.8131,23.4318,鹏华基金,QDII-普通股票,,"李悦,周欣",2023-05-13,3.3265,3,0.15%,暂停申购,25.8367,22.8192,7.7072,9.7411,,7.5232,26.0984,-39.7243,-52.2613,-52.2613,2020,44.1508,0.7031,2026-09-09,[],,
000047,华夏双债债券A,债券/固收,2013-03-14,13.4921,32.6591,华夏基金,债券型-混合一级,,柳万军,2015-07-16,11.1540,0,0.08%,开放申购,13.4470,12.4775,5.6529,9.4894,7.5857,8.1966,7.7744,-10.4718,-10.4718,-10.4718,2020,22.9224,1.0444,2026-09-10,['000048'],74.5,1
001257,兴业收益增强债券A,债券/固收,2015-05-29,11.2854,184.8005,兴业基金,债券型-混合二级,,"周鸣,丁进",2015-05-29,11.2854,0,0.08%,限大额,5.5231,7.6483,5.3623,6.8178,5.8327,6.0348,5.8185,-6.5058,-6.5058,-6.5058,2021,14.4540,0.7881,2026-09-10,['001258'],72.6,1
630007,华商稳健双利债券A,债券/固收,2010-08-09,16.0876,82.4885,华商基金,债券型-混合二级,,张永志,2013-02-06,13.5907,0,0.08%,开放申购,15.5992,8.2087,5.3042,7.2967,5.7433,6.1250,4.3029,-4.5693,-11.8490,-26.2341,2014,34.1979,2.0873,2026-09-10,['630107'],70.5,1
000143,鹏华双债加利债券A,债券/固收,2013-05-27,13.2895,115.7614,鹏华基金,债券型-混合二级,,王石千,2018-03-28,8.4545,0,0.08%,开放申购,9.2588,11.0967,5.3605,7.6699,6.2018,7.1445,7.1091,-10.2530,-10.2530,-10.2530,2025,18.8522,0.9842,2026-09-10,['013149'],70.3,1
110017,易方达增强回报债券A,债券/固收,2008-03-19,18.4778,326.8462,易方达基金,债券型-混合一级,,王晓晨,2020-05-27,6.2888,0,0.08%,开放申购,3.7663,5.6659,4.0656,6.6366,5.6024,7.4680,2.7651,-3.1792,-3.9525,-6.9267,2014,26.4892,1.0337,2026-09-10,['110018'],68.9,1
720003,财通收益增强债券A,债券/固收,2012-12-20,13.7221,24.5097,财通基金,债券型-混合二级,,"罗晓倩,匡恒",2023-02-10,3.5811,3,0.08%,限大额,23.0387,16.4128,6.3530,10.2781,7.7314,7.4444,10.1657,-19.6853,-19.6853,-19.6853,2025,26.6268,1.5955,2026-09-10,['003204'],63.4,1
162210,宏利集利债券A,债券/固收,2008-09-26,17.9548,39.5429,宏利基金,债券型-混合二级,,"李宇璐,石磊",2024-08-16,2.0671,5,0.08%,开放申购,11.6902,8.2242,5.6351,5.9209,4.9446,5.9504,4.9272,-4.0661,-4.0661,-11.0128,2014,30.4598,1.4005,2026-09-10,['162299'],62.1,1
217008,招商安本增利债券C,债券/固收,2006-07-11,20.1670,129.0089,招商基金,债券型-混合二级,,"滕越,王娟娟",2022-01-14,4.6543,1,0.00%,限大额,6.3930,8.2443,5.6438,6.8166,4.4605,6.4732,6.2150,-7.7714,-14.7386,-21.7408,2014,39.1639,0.8370,2026-09-10,[],59.5,1
000385,景顺长城景颐双利债券A,债券/固收,2013-11-13,12.8241,429.7965,景顺长城基金,债券型-混合二级,,"董晗,李怡文",2021-04-30,5.3634,0,0.08%,开放申购,4.5882,6.0793,3.8620,5.4653,4.8102,6.6011,4.2822,-3.9016,-3.9016,-4.9505,2015,21.5332,0.7771,2026-09-10,['000386'],58.7,1
630009,华商稳定增利债券A,债券/固收,2011-03-15,15.4908,37.2976,华商基金,债券型-混合二级,,张永志,2017-08-04,9.1006,0,0.08%,开放申购,23.2686,11.4114,4.0661,8.8324,7.6921,7.5936,8.3020,-15.7380,-15.7380,-19.3798,2014,25.5747,1.7377,2026-09-10,['630109'],57.4,1
519162,新华增怡债券A,债券/固收,2013-12-04,12.7666,36.5484,新华基金,债券型-混合二级,,王丹,2021-02-19,5.5551,0,0.08%,开放申购,11.9037,9.4292,5.3338,6.2415,5.5825,6.4296,6.9502,-10.8391,-10.8391,-10.8391,2014,18.3267,1.8639,2026-09-10,['519163'],54.6,
206018,鹏华产业债债券A,债券/固收,2013-02-06,13.5907,45.1854,鹏华基金,债券型-混合一级,,祝松,2014-03-14,12.4928,0,0.08%,限大额,2.9977,4.5936,3.7693,4.8961,4.5969,5.5611,1.9963,-2.2358,-4.7487,-4.7487,2014,18.6544,1.0446,2026-09-10,[],52.9,
360008,光大增利收益债券A,债券/固收,2008-10-29,17.8645,27.5257,光大保德信基金,债券型-混合一级,,黄波,2019-11-05,6.8474,0,0.10%,开放申购,0.9831,4.7811,4.4245,5.4703,4.6774,4.7021,3.5855,-5.4416,-5.4416,-13.2296,2014,11.6150,-0.3032,2026-09-10,['360009'],47.7,
000184,工银添福债券A,债券/固收,2013-10-31,12.8597,59.5603,工银瑞信基金,债券型-混合二级,,郭雪松,2021-02-25,5.5387,0,0.08%,开放申购,4.6683,6.5871,4.7987,4.6410,3.3394,6.8303,6.2096,-8.0264,-8.2493,-8.2493,2014,44.2672,1.5847,2026-09-10,['000185'],46.2,
217024,招商安盈债券A,债券/固收,2012-08-20,14.0561,35.7734,招商基金,债券型-混合二级,,"尹晓红,蔡振",2021-08-05,5.0979,0,0.08%,开放申购,2.9114,5.0635,3.8489,5.9622,4.8423,3.7033,3.8323,-4.3451,-4.3451,-40.4052,2014,28.5291,0.4488,2026-09-10,['012233'],44.0,
519669,银河领先债券A,债券/固收,2012-11-29,13.7796,15.0748,银河基金,债券型-混合一级,,蒋磊,2021-11-12,4.8268,1,0.04%,开放申购,2.1197,4.6071,3.7751,4.0711,4.0930,5.3649,1.6108,-1.8697,-1.9290,-1.9290,2014,14.1340,0.5738,2026-09-10,[],42.0,
121012,国投瑞银优化增强债券A/B,债券/固收,2010-09-08,16.0055,49.8750,国投瑞银基金,债券型-混合二级,,"杨枫,綦缚鹏",2023-06-15,3.2389,3,0.08%,开放申购,4.3256,4.2021,3.5019,5.1004,5.0054,6.2753,3.3784,-5.0527,-5.0527,-7.6999,2014,31.8313,0.9441,2026-09-10,[],40.3,
000122,汇添富实业债债券A,债券/固收,2013-06-14,13.2402,50.9720,汇添富基金,债券型-混合一级,,"徐一恒,吴江宏,胡奕",2024-06-28,2.2012,2,0.10%,开放申购,4.2460,6.7744,4.7700,4.8570,3.8642,5.5591,3.7687,-7.1305,-7.1305,-7.1305,2014,21.2757,0.6853,2026-09-10,['000123'],38.2,
040022,华安可转债债券A,债券/固收,2011-06-22,15.2197,8.9268,华安基金,债券型-混合二级,,"周益鸣,卢维捷",2023-11-10,2.8337,1,0.08%,限大额,-1.1236,5.6492,4.2524,8.9352,5.7808,5.0349,10.2360,-16.4211,-19.6787,-59.1169,2014,77.1739,-0.4013,2026-09-10,['040023'],35.9,
000130,大成景兴信用债债券A,债券/固收,2013-06-04,13.2676,7.2688,大成基金,债券型-混合一级,,孙丹,2020-10-15,5.9028,0,0.08%,开放申购,2.3057,3.9942,3.3805,4.1828,4.0827,5.9116,1.7380,-2.7828,-3.7813,-11.9865,2014,28.2316,1.1850,2026-09-10,['000131'],32.7,
160513,博时稳健回报债券(LOF)A,债券/固收,2011-06-10,15.2526,24.6435,博时基金,债券型-混合一级,,"罗霄,高晖",2023-10-20,2.8912,2,0.08%,开放申购,3.0098,4.2353,3.3838,5.9823,4.0952,5.7229,2.3321,-2.8289,-10.8144,-10.8144,2014,31.5690,0.4897,2026-09-10,['160514'],32.0,
040012,华安强化收益债券A,债券/固收,2009-04-13,17.4100,11.3427,华安基金,债券型-混合二级,,郑伟山,2022-09-16,3.9836,1,0.08%,开放申购,-2.3810,7.0732,3.6896,5.3562,4.6578,6.4318,9.3455,-12.6472,-12.6472,-12.6472,2014,33.0514,-0.4696,2026-09-10,['040013'],26.9,
161010,富国天丰强化债券(LOF)A,债券/固收,2008-10-24,17.8782,8.2978,富国基金,债券型-混合一级,,张明凯,2020-10-26,5.8727,0,0.08%,开放申购,-1.2049,5.8615,3.5691,5.7630,4.3866,6.0892,7.7764,-10.6624,-10.6624,-10.6624,2015,18.4798,-0.2814,2026-09-10,[],25.5,
202102,南方多利增强债券C,债券/固收,2006-03-27,20.4572,7.5940,南方基金,债券型-混合一级,,"李璇,刘文良",2024-06-28,2.2012,1,0.00%,开放申购,5.8178,4.6873,3.7081,4.6129,3.7925,4.7907,3.5510,-4.5037,-4.5037,-8.5586,2014,15.0456,0.8883,2026-09-10,['202103'],23.4,
121001,国投瑞银融华债券,债券/固收,2003-04-16,23.4031,2.0909,国投瑞银基金,混合型-偏债,,杨枫,2022-01-28,4.6160,1,0.065%,开放申购,5.3851,5.9211,4.2713,3.3186,1.7752,8.1325,4.7635,-7.7250,-18.6659,-30.2970,2006,60.0910,0.9444,2026-09-10,[],,
510080,长盛全债指数增强债券A,债券/固收,2003-10-25,22.8775,36.3600,长盛基金,指数型-固收,标普中国全债指数,王贵君,2023-10-30,2.8638,2,0.10%,开放申购,1.6284,2.5300,2.2185,3.4474,2.7090,5.1094,0.9823,-1.4026,-3.8947,-7.3149,2007,29.5388,0.5139,2026-09-10,[],,
217003,招商安泰债券A,债券/固收,2003-04-28,23.3703,9.5769,招商基金,债券型-混合一级,,"刘万锋,马海林",2026-04-30,0.3641,2,0.08%,开放申购,6.4156,4.3527,3.9327,4.4053,4.0085,5.4034,1.6201,-2.7061,-3.6297,-5.4017,2007,19.9443,1.5870,2026-09-10,"['013391', '217203']",,
360013,光大信用添益债券A,债券/固收,2011-05-16,15.3210,47.7436,光大保德信基金,债券型-混合二级,,黄波,2019-11-05,6.8474,0,0.08%,开放申购,7.6986,9.1587,4.5770,8.8972,7.4480,7.1083,15.2803,-29.7116,-29.7116,-29.7116,2020,24.6481,0.5211,2026-09-10,['360014'],,
161603,融通债券A/B,债券/固收,2003-09-30,22.9459,1.4919,融通基金,债券型-长债,,王超,2015-06-23,11.2170,0,0.12%,开放申购,2.6663,3.0377,3.7338,4.0330,3.7915,4.9591,1.3294,-2.4713,-6.3148,-7.7509,2018,12.0153,2.5103,2026-09-10,[],,
202105,南方广利回报债券A/B,债券/固收,2010-11-03,15.8522,203.5266,南方基金,债券型-混合二级,,"刘文良,王润栋",2025-09-19,0.9747,1,0.08%,开放申购,21.2405,12.6677,5.4479,8.2128,5.6720,6.5488,13.1086,-22.4547,-22.4547,-29.4153,2014,44.0191,1.1127,2026-09-10,[],,
002924,华商瑞鑫定开债,债券/固收,2016-08-24,10.0287,1.0764,华商基金,债券型-混合二级,,张永志,2016-08-24,10.0287,0,0.08%,暂停申购,29.8033,16.1894,7.0026,11.9677,9.9160,9.8862,24.2221,-21.7817,-21.7817,-21.7817,2019,22.1655,,2026-09-04,[],,
100035,富国优化增强债券A/B,债券/固收,2009-06-10,17.2512,41.5888,富国基金,债券型-混合二级,,张育浩,2025-11-21,0.8022,4,0.08%,开放申购,5.5794,11.8319,4.9254,6.2456,5.1608,5.9779,10.3466,-20.9163,-20.9163,-20.9163,2014,23.2342,0.5918,2026-09-10,[],,
470010,汇添富多元收益债券A,债券/固收,2012-09-18,13.9767,33.5580,汇添富基金,债券型-混合二级,,"马翔,朱凌昊,丁巍",2026-07-30,0.1150,5,0.08%,开放申购,13.4437,9.4847,4.3318,6.7468,5.6251,7.4409,4.8251,-8.0528,-8.1022,-11.1194,2014,28.5589,1.6282,2026-09-10,['470011'],,
202107,南方广利回报债券C,债券/固收,2010-11-03,15.8522,44.4772,南方基金,债券型-混合二级,,"刘文良,王润栋",2025-09-19,0.9747,1,0.00%,开放申购,20.7583,12.2253,5.0255,7.7180,5.2116,6.1605,13.1097,-23.2882,-23.2882,-29.1869,2014,43.5688,1.0854,2026-09-10,[],,
240012,华宝增强收益债券A,债券/固收,2009-02-17,17.5606,10.4504,华宝基金,债券型-混合二级,,曾健飞,2023-03-04,3.5209,1,0.08%,开放申购,9.5921,12.5870,6.3069,6.2613,4.8557,5.1762,14.0402,-23.7324,-23.7324,-23.7324,2025,31.0607,0.4240,2026-09-10,['240013'],,
000171,易方达裕丰回报债券A,债券/固收,2013-08-23,13.0486,292.6636,易方达基金,债券型-混合二级,,张清华,2025-09-30,0.9446,1,0.10%,开放申购,9.2778,7.1519,3.9208,6.3181,6.0075,7.7228,4.8407,-6.3470,-6.3470,-8.7535,2015,21.7133,0.9808,2026-09-10,[],,
485107,工银添利债券A,债券/固收,2008-04-14,18.4066,19.3932,工银瑞信基金,债券型-混合一级,,"谷衡,黄杨荔",2024-07-08,2.1739,1,0.08%,限大额,3.5238,3.4614,3.7333,4.2786,2.7423,5.4283,1.9511,-2.5516,-13.1815,-13.1815,2014,32.4915,1.7310,2026-09-10,['485007'],,
100037,富国优化增强债券C,债券/固收,2009-06-10,17.2512,7.4450,富国基金,债券型-混合二级,,张育浩,2025-11-21,0.8022,4,0.00%,暂停申购,5.1715,11.3937,4.5166,5.8182,4.7389,5.5492,10.3523,-21.6849,-21.6849,-21.6849,2014,22.7488,0.5275,2026-09-10,[],,
020002,国泰金龙债券A,债券/固收,2003-12-05,22.7652,9.5768,国泰基金,债券型-混合一级,,"茅利伟,刘嵩扬",2024-08-02,2.1054,2,0.08%,开放申购,3.8393,4.9357,3.9199,2.5454,2.0438,4.2355,2.4231,-3.3803,-12.7486,-12.7486,2014,12.7000,2.4465,2026-09-10,['020012'],,
217018,招商安瑞进取债券A,债券/固收,2011-03-17,15.4853,19.4632,招商基金,债券型-混合二级,,"况冲,黄晓婷",2026-01-29,0.6133,2,0.08%,限大额,10.2871,8.6436,4.3576,5.4316,3.9934,6.1604,13.2029,-26.9369,-26.9369,-26.9369,2014,41.0359,0.7522,2026-09-10,[],,
020019,国泰双利债券A,债券/固收,2009-03-11,17.5003,22.9665,国泰基金,债券型-混合二级,,"陈志华,缪莹荟",2026-08-06,0.0958,1,0.10%,限大额,0.8601,4.8045,3.8714,4.9078,4.3279,5.5045,6.3209,-9.3498,-9.3498,-10.3448,2014,12.3134,-0.0670,2026-09-10,['020020'],,
